14, RandomForestRegressor(bootstrap=Truecriterion='mse'max_depth=Nonemax_features=9max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Falserandom_state=Noneverbose=0warm_start=False), 14, 0.197544044516, 0.0378737159816, 14, 0.936275470219, 0.0129588999299
15, RandomForestRegressor(bootstrap=Truecriterion='mse'max_depth=Nonemax_features=9max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Truerandom_state=Noneverbose=0warm_start=False), 15, 0.208948105801, 0.0614152069576, 15, 0.934390673981, 0.0135640934894
16, RandomForestRegressor(bootstrap=Truecriterion='mse'max_depth=Nonemax_features=10max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Falserandom_state=Noneverbose=0warm_start=False), 16, 0.199179322981, 0.023104583743, 16, 0.934269788401, 0.00569974250877
17, RandomForestRegressor(bootstrap=Truecriterion='mse'max_depth=Nonemax_features=10max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Truerandom_state=Noneverbose=0warm_start=False), 17, 0.196398425372, 0.0452556655864, 17, 0.933397139498, 0.00939286988859
18, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='auto'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Falserandom_state=Noneverbose=0warm_start=False), 18, 0.205507709084, 0.0395810447107, 18, 0.931707680251, 0.00989916596908
19, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='auto'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Truerandom_state=Noneverbose=0warm_start=False), 19, 0.220355156051, 0.0548922137793, 19, 0.928831308777, 0.00752682494199
20, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='sqrt'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Falserandom_state=Noneverbose=0warm_start=False), 20, 0.208635611357, 0.0601173503829, 20, 0.932079937304, 0.0152624783903
21, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='sqrt'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Truerandom_state=Noneverbose=0warm_start=False), 21, 0.207303466048, 0.0595491039088, 21, 0.932272335423, 0.0134123930886
22, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='log2'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Falserandom_state=Noneverbose=0warm_start=False), 22, 0.208810480289, 0.0568923368073, 22, 0.933338753918, 0.0140766889469
23, RandomForestRegressor(bootstrap=Truecriterion='mae'max_depth=Nonemax_features='log2'max_leaf_nodes=Nonemin_impurity_decrease=0.0min_impurity_split=Nonemin_samples_leaf=1min_samples_split=2min_weight_fraction_leaf=0.0n_estimators=1n_jobs=-1oob_score=Truerandom_state=Noneverbose=0warm_start=False), 23, 0.221091891724, 0.0625481827585, 23, 0.937525666144, 0.00849250310455
